business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Shree medicine store,Ayurvedic Pharmacy and Clinic,Pharmacy,"Pharmacy, Drug store",757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 94384 63444,N/A,4.4,7.0,"1, Rairangpur, Odisha 757043",757043,22.269498,86.1772259,ChIJgYaRkL0LHjoRGQ5mUlFWsig,https://www.google.com/maps/place/?q=place_id:ChIJgYaRkL0LHjoRGQ5mUlFWsig,part_345,2026-09-20 20:17:53,1192
Shree Jagdananda Clinic,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,Ayurvedic clinic,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 97766 99469,N/A,,,"Palboni Golei, chitrada road, Raghunathpur, Baripada, Odisha 757001",Raghunathpur,21.9380898,86.7466661,ChIJEbM0Dr6vHToR2iYHMh__dfs,https://www.google.com/maps/place/?q=place_id:ChIJEbM0Dr6vHToR2iYHMh__dfs,part_345,2026-09-20 20:17:53,1193
Bikash Medical Store,Ayurvedic Pharmacy and Clinic,Pharmacy,Pharmacy,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",N/A,N/A,4.9,9.0,"759H+W44, near Aurobindo school, Rairangpur, Odisha 757043",757043,22.2697728,86.1778253,ChIJJ294gcELHjoRT7AC_KVP2J0,https://www.google.com/maps/place/?q=place_id:ChIJJ294gcELHjoRT7AC_KVP2J0,part_345,2026-09-20 20:17:53,1194
Tarini Medical Store,Ayurvedic Pharmacy and Clinic,Medical clinic,Medical clinic,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 94372 39548,N/A,4.5,2.0,"759G+MXG, Rairangpur, Odisha 757043",757043,22.2690591,86.17737199999999,ChIJ2290XgALHjoRfYAGYTeLBBc,https://www.google.com/maps/place/?q=place_id:ChIJ2290XgALHjoRfYAGYTeLBBc,part_345,2026-09-20 20:17:53,1195
"Tapasi Das, Ayurvedic Piles Medicine Clinic",Ayurvedic Pharmacy and Clinic,Pharmacy,Pharmacy,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 98533 31270,N/A,3.0,2.0,"WPHW+JWJ, Irragration Colony, Baripada, Odisha 757001",Irragration Colony,21.9290952,86.7472677,ChIJe7-bF6avHToRZcuIC8PFOZI,https://www.google.com/maps/place/?q=place_id:ChIJe7-bF6avHToRZcuIC8PFOZI,part_345,2026-09-20 20:17:53,1196
Maa Tarini Medicine Store,Ayurvedic Pharmacy and Clinic,Pharmacy,Pharmacy,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 93377 03946,N/A,4.8,16.0,"SH 19, Labuor Colony, Baripada, Odisha 757001",Labuor Colony,21.920935699999998,86.74553399999999,ChIJ5ffSogCuHToR3zshIWfMsfk,https://www.google.com/maps/place/?q=place_id:ChIJ5ffSogCuHToR3zshIWfMsfk,part_345,2026-09-20 20:17:53,1197
Ayurvedic Clinic,Ayurvedic Pharmacy and Clinic,Alternative medicine practitioner,Alternative medicine practitioner,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 90402 47208,N/A,5.0,4.0,"FV4M+W2R, Badambadi Colony, Kataka, Odisha 753012",Badambadi Colony,20.4573666,85.88252229999999,ChIJbf01dZwNGToReQqX0u1Z2UM,https://www.google.com/maps/place/?q=place_id:ChIJbf01dZwNGToReQqX0u1Z2UM,part_345,2026-09-20 20:17:53,1198
"Doctor's Ayurvedic Clinic, Panchakarma & Physiotherapy",Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,"Ayurvedic clinic, Massage therapist, Physiotherapy Center",757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 70086 35335,N/A,4.9,543.0,"HIG-400, BANK OF INDIA, near Jaganath Temple, Kalinga Vihar, Patrapada, Bhubaneswar, Odisha 751028","Kalinga Vihar, Kalinga Vihar LIG, Patrapada",20.252373499999997,85.7580924,ChIJk_403L2pGToR_qqsjdsQaK0,https://www.google.com/maps/place/?q=place_id:ChIJk_403L2pGToR_qqsjdsQaK0,part_345,2026-09-20 20:17:53,1199
Jibanjyoti Ayurvedic Sevasadan,Ayurvedic Pharmacy and Clinic,Herbal medicine store,Herbal medicine store,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 87633 87925,N/A,5.0,2.0,"FM College Rd, Azimabad, Mallikashpur, Balasore, Odisha 756001","Azimabad, Mallikashpur",21.492445699999998,86.92761929999999,ChIJc9bwhQn1HDoRFBAHY0tsLAY,https://www.google.com/maps/place/?q=place_id:ChIJc9bwhQn1HDoRFBAHY0tsLAY,part_345,2026-09-20 20:17:53,1200
Mohapatra Ayurvedic Store,Ayurvedic Pharmacy and Clinic,Pharmacy,Pharmacy,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",N/A,N/A,4.0,4.0,"GW3C+W8M, Sahadevkhuntha, Railway Colony, Balia, Balasore, Odisha 756001","Sahadevkhuntha, Railway Colony, Balia",21.5048393,86.9208106,ChIJS8iayMn1HDoRf9OJfkLzo6A,https://www.google.com/maps/place/?q=place_id:ChIJS8iayMn1HDoRf9OJfkLzo6A,part_345,2026-09-20 20:17:53,1201
Patanjali Arogya Kendra,Ayurvedic Pharmacy and Clinic,Herbal medicine store,Herbal medicine store,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 94376 52560,https://patanjalistores.patanjaliayurved.org/patanjali-arogya-kendra-grocery-stores-badasahi-mayurbhanj-268997/Home?utm_source=locator&utm_medium=googleplaces,5.0,12.0,"Badasahi To, Road, near Bank Of India, Dukura, Badasahi, Odisha 757026",757043,21.7284728,86.7382557,ChIJM1p3brxPHDoR5gvcsDfuPDg,https://www.google.com/maps/place/?q=place_id:ChIJM1p3brxPHDoR5gvcsDfuPDg,part_345,2026-09-20 20:17:53,1202
Lokanath Medicine Store,Ayurvedic Pharmacy and Clinic,Pharmacy,Pharmacy,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 70084 24007,N/A,4.8,15.0,"w.no 9, Krushna Chandra golei, Baruni Rd, Ward No 9, Ward No.7, Madhuvan Sahi, Baripada, Odisha 757001","Ward No 9, Ward No.7, Madhuvan Sahi",21.927687499999998,86.7272509,ChIJKf8K5QSxHToRy_kmXT3yVNk,https://www.google.com/maps/place/?q=place_id:ChIJKf8K5QSxHToRy_kmXT3yVNk,part_345,2026-09-20 20:17:53,1203
Bharuka Medical Store,Ayurvedic Pharmacy and Clinic,Pharmacy,Pharmacy,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 94371 48006,N/A,4.6,21.0,"QX5C+G7P, Main Rd, Karanjia, Odisha 757037",757043,21.7588433,85.9707153,ChIJieFQDQCLHjoRkHbglqj0H8Y,https://www.google.com/maps/place/?q=place_id:ChIJieFQDQCLHjoRkHbglqj0H8Y,part_345,2026-09-20 20:17:53,1204
Vedang Ayurveda And Panchkarma Clinic,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,"Ayurvedic clinic, Medical clinic, Skin care clinic",757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 97304 90300,https://www.skinayurvedaandpsoriasis.com/enquiry.php,4.9,249.0,"Ajmera Main Rd, near Datta Temple, Masulkar Colony, Ajmera Housing Society, Pimpri Colony, Pimpri-Chinchwad, Maharashtra 411018","Masulkar Colony, Ajmera Housing Society, Pimpri Colony",18.633242799999998,73.8103127,ChIJ3elTRES4wjsRcHciwnKxaIs,https://www.google.com/maps/place/?q=place_id:ChIJ3elTRES4wjsRcHciwnKxaIs,part_345,2026-09-20 20:17:53,1205
Sarala Medical Hall,Ayurvedic Pharmacy and Clinic,Pharmacy,"Pharmacy, Medical Center, Medical diagnostic imaging center, Pathologist, Drug store",757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 94372 38025,N/A,4.9,11.0,"Deulasahi, Bhanjpur, Baripada, Odisha 757001","Deulasahi, Bhanjpur",21.9322314,86.72769129999999,ChIJbz0PkUexHToReQiaGF7Y7RE,https://www.google.com/maps/place/?q=place_id:ChIJbz0PkUexHToReQiaGF7Y7RE,part_345,2026-09-20 20:17:53,1206
