business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Primary Health Sub Center Paniganda,Diagnostic Center,Medical laboratory,Medical laboratory,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",N/A,N/A,5.0,,"J47F+428, Paniganda, Odisha 761217",762021,19.6127876,84.1225879,ChIJndRLfkouIzoRMjqwxwKDUnQ,https://www.google.com/maps/place/?q=place_id:ChIJndRLfkouIzoRMjqwxwKDUnQ,part_350,2026-09-20 20:17:58,2017
"MAA GRIHA, AMAGAM,",Diagnostic Center,Medical Center,Medical Center,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",N/A,N/A,,,"M35C+FQR, Jhinjiriguda, Odisha 762021",762021,19.6587375,84.0718906,ChIJMXvtTgAxIzoRlsAC-TBAHtc,https://www.google.com/maps/place/?q=place_id:ChIJMXvtTgAxIzoRlsAC-TBAHtc,part_350,2026-09-20 20:17:58,2018
Primary Health Sub Center Garadama,Diagnostic Center,Medical laboratory,Medical laboratory,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",N/A,N/A,4.0,,"HWCQ+R54, Garadama, Odisha 761217",762021,19.5720012,83.93796119999999,ChIJmd9ShQQ2IzoRIIUcF7wYc0A,https://www.google.com/maps/place/?q=place_id:ChIJmd9ShQQ2IzoRIIUcF7wYc0A,part_350,2026-09-20 20:17:58,2019
Primary Health Sub Center Damadua,Diagnostic Center,Medical laboratory,Medical laboratory,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",N/A,N/A,,,"H545+VGF, Katraka, Damadua, Odisha 761217",762021,19.5571995,84.1587991,ChIJlWfgUTssIzoRRA_ot4dMgGQ,https://www.google.com/maps/place/?q=place_id:ChIJlWfgUTssIzoRRA_ot4dMgGQ,part_350,2026-09-20 20:17:58,2020
Primary Health Sub Center Ballibandha,Diagnostic Center,Medical laboratory,Medical laboratory,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",N/A,N/A,,,"F3M7+WPQ, Ballibandha, Odisha 761217",762021,19.4848385,84.064352,ChIJQ4eC9dkyIzoRAyiYw-vSJ6s,https://www.google.com/maps/place/?q=place_id:ChIJQ4eC9dkyIzoRAyiYw-vSJ6s,part_350,2026-09-20 20:17:58,2021
Primary Health Sub Center Jhiliki,Diagnostic Center,Medical laboratory,Medical laboratory,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",N/A,N/A,3.3,,"G57G+5VJ, Jhiliki, Odisha 761217",762021,19.5129688,84.17713599999999,ChIJjeWKGoUsIzoRhZMy8okrLpc,https://www.google.com/maps/place/?q=place_id:ChIJjeWKGoUsIzoRhZMy8okrLpc,part_350,2026-09-20 20:17:58,2022
Bhabani Diagnostic Centre,Diagnostic Center,Diagnostic center,Diagnostic center,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 98610 33601,https://bhabani-diagnostic.grexa.site/,4.4,,"Shop No. 705 Ispat Central Market Back Side Of Civic Centre, Rourkela, Odisha 769005","Bank Street, Sector 19",22.256704799999998,84.8652333,ChIJTfnmDwMcIDoRRJobIZlsLo8,https://www.google.com/maps/place/?q=place_id:ChIJTfnmDwMcIDoRRJobIZlsLo8,part_350,2026-09-20 20:17:58,2023
Adava Medical,Diagnostic Center,Community center,Community center,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",N/A,N/A,3.9,,"F5RH+QVP, Bramhanigaon Road, Adaba, Koiliguda, Odisha 761217",762021,19.491956599999998,84.17969649999999,ChIJK5YJwnEtIzoRMiLGeEXl1Jc,https://www.google.com/maps/place/?q=place_id:ChIJK5YJwnEtIzoRMiLGeEXl1Jc,part_350,2026-09-20 20:17:58,2024
Pratibha Pathology Centre,Diagnostic Center,Medical laboratory,Medical laboratory,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",N/A,N/A,5.0,,"Shop No :555, near CHC, Kalimela, Odisha 764047",762021,18.0907986,81.7513551,ChIJta5Gg-zFMDoRz5PqP3TJhQo,https://www.google.com/maps/place/?q=place_id:ChIJta5Gg-zFMDoRz5PqP3TJhQo,part_350,2026-09-20 20:17:58,2025
Swagata Medical Store,Diagnostic Center,Alternative medicine practitioner,Alternative medicine practitioner,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",N/A,N/A,5.0,,"M34C+2W3, Bamunigan, Odisha 762021",762021,19.6550169,84.0723124,ChIJA0DiUgAxIzoRpYPpgkYXSK8,https://www.google.com/maps/place/?q=place_id:ChIJA0DiUgAxIzoRpYPpgkYXSK8,part_350,2026-09-20 20:17:58,2026
ULTRAMAX DIAGNOSTIC CENTRE,Diagnostic Center,Diagnostic center,Diagnostic center,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 90408 11818,N/A,4.8,,"Panisalia, Jagatsinghpur, Odisha 754103",Panisalia,20.2513374,86.1809559,ChIJRzeprXWBGToRnvBuzEK8LBI,https://www.google.com/maps/place/?q=place_id:ChIJRzeprXWBGToRnvBuzEK8LBI,part_350,2026-09-20 20:17:59,2027
Mehek Medipoint and Diagnostic Centre,Diagnostic Center,Store,Store,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 93482 11717,N/A,4.7,,"Jaganathpur, Odisha 754132",762021,20.359845699999997,86.16467779999999,ChIJoc3Cy1F5GToRKsvpmBBRGNI,https://www.google.com/maps/place/?q=place_id:ChIJoc3Cy1F5GToRKsvpmBBRGNI,part_350,2026-09-20 20:17:59,2028
Rk Health Care,Diagnostic Center,Diagnostic center,"Diagnostic center, Medical laboratory, Emergency training school, Laboratory, Medical clinic, Training center",762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 93177 36825,N/A,5.0,62.0,"near Baba lalpuri ji mandir, Agondh, Haryana 136035",762022,29.9926867,76.25250989999999,ChIJLZlH2LPPETkRB2LnmDFdlwY,https://www.google.com/maps/place/?q=place_id:ChIJLZlH2LPPETkRB2LnmDFdlwY,part_350,2026-09-20 20:18:41,8022
SURYA DIAGNOSTIC CENTER,Diagnostic Center,Diagnostic center,"Diagnostic center, Laboratory",762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",N/A,N/A,5.0,2.0,"Anaj Mandi, Road, Alanpur, Sawai Madhopur, Rajasthan 322001",Alanpur,26.0021864,76.3625205,ChIJZc_pVX8nbjkR7vZ-i_ZTdsA,https://www.google.com/maps/place/?q=place_id:ChIJZc_pVX8nbjkR7vZ-i_ZTdsA,part_350,2026-09-20 20:18:41,8023
