business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Mirror thai spa,Spa,Spa,Spa,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 80021 13337,N/A,4.6,25.0,"Gandhi Marg, near reliance trends, Bazarapada, Angul, Odisha 759122",Bazarapada,20.838651199999997,85.0866568,ChIJddptVnmvGDoRekakfL59BWU,https://www.google.com/maps/place/?q=place_id:ChIJddptVnmvGDoRekakfL59BWU,part_350,2026-09-20 20:18:07,3270
BLOOM THAI SPA,Spa,Spa,Spa,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 78548 84384,N/A,5.0,7.0,"Railway, to, Station Rd, Handidhua, Talcher, Odisha 759100",762021,20.933626099999998,85.2016031,ChIJi0uTxLO1GDoRVlksGI4ADJ0,https://www.google.com/maps/place/?q=place_id:ChIJi0uTxLO1GDoRVlksGI4ADJ0,part_350,2026-09-20 20:18:07,3271
RELAX VILLA THAI SPA,Spa,Body shaping class,Body shaping class,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 98615 57703,https://www.relaxvillathaispa.in/,4.7,50.0,"Infront of urbo life, Gandhi Marg, above Titan World, Bazarapada, Angul, Odisha 759122",Bazarapada,20.839247999999998,85.0869247,ChIJF5prpy6xGDoRGDO6K1cV9YE,https://www.google.com/maps/place/?q=place_id:ChIJF5prpy6xGDoRGDO6K1cV9YE,part_350,2026-09-20 20:18:07,3272
Salimagochha Ghai,Spa,Outdoor bath,Outdoor bath,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 88958 79702,N/A,4.0,2.0,"Badagochha, Uparaustapada, Odisha 761109",762021,19.7174375,84.2229375,ChIJSxUOJwAnIzoRqLKqBPvA4R4,https://www.google.com/maps/place/?q=place_id:ChIJSxUOJwAnIzoRqLKqBPvA4R4,part_350,2026-09-20 20:18:07,3273
Swarna Spa,Spa,Spa,"Spa, Day spa, Foot massage parlor, Hammam, Holistic medicine practitioner, Massage spa, Spa and health club, Thai massage therapist",762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 81149 61059,https://www.swarnaspa.in/,4.4,800.0,"Plot No -1266, House No -C-102 plot no 1266 USHA recidency , Ashok Nagar Back side of Sheela Shoes, Bhubaneswar, Odisha 751009",Ashok Nagar,20.262673799999998,85.83935199999999,ChIJ9W0q9KqnGToR_SS99-06abs,https://www.google.com/maps/place/?q=place_id:ChIJ9W0q9KqnGToR_SS99-06abs,part_350,2026-09-20 20:18:08,3274
Zaara Spa,Spa,Spa,"Spa, Day spa, Massage spa, Spa and health club, Wellness center",762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 63702 79511,https://www.spainbhubaneswar.com/,4.8,1689.0,"City Heart Center, Plot no-285, near Old Post Office Lane, Budheswari Colony, Laxmisagar, Bhubaneswar, Odisha 751006","Budheswari Colony, Laxmisagar",20.2666468,85.84767819999999,ChIJqVF0Rv6nGToRAEoN9AR_IQ8,https://www.google.com/maps/place/?q=place_id:ChIJqVF0Rv6nGToRAEoN9AR_IQ8,part_350,2026-09-20 20:18:08,3275
Poonam Unisex Spa & Salon,Spa,Spa,"Spa, Health spa, Massage spa, Sauna, Spa and health club, Thai massage therapist",762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 89173 32216,https://poonamspa.co.in/,4.6,428.0,"PLOT NO - 162, Lane No. 12, Bapuji Nagar, Bhubaneswar, Odisha 751009",Bapuji Nagar,20.259894499999998,85.83743989999999,ChIJf12jq06nGToR3o_IDSJZfiQ,https://www.google.com/maps/place/?q=place_id:ChIJf12jq06nGToR3o_IDSJZfiQ,part_350,2026-09-20 20:18:08,3276
Deltin International Thai Spa,Spa,Spa,"Spa, Aromatherapy service, Massage therapist, Spa and health club, Thai massage therapist",762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 77878 70901,https://thedeltininternationalthaispa.com/,4.5,192.0,"Plot- no- 193, Square, Gayatri Vihar, Kanan Vihar, Patia, Bhubaneswar, Odisha 751024","Gayatri Vihar, Kanan Vihar, Patia",20.3420476,85.8223907,ChIJd-jqvvAJGToRSX2T1awKnHI,https://www.google.com/maps/place/?q=place_id:ChIJd-jqvvAJGToRSX2T1awKnHI,part_350,2026-09-20 20:18:08,3277
Regal Spa,Spa,Health spa,Health spa,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 70771 25666,http://www.hotelvaishnoregal.com/,5.0,20.0,"near Ekamra Park, Nayapalli, Bhubaneswar, Odisha 751015",Nayapalli,20.298952,85.80633259999999,ChIJsdp9xckJGToRoXPgczUrDGE,https://www.google.com/maps/place/?q=place_id:ChIJsdp9xckJGToRoXPgczUrDGE,part_350,2026-09-20 20:18:08,3278
The Grand 11 Spa & Saloon ™️,Spa,Spa,"Spa, Beauty Parlour, Facial spa, Health spa, Massage spa, Massage therapist, Nail salon, Spa and health club, Thai massage therapist",762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 86581 78890,https://thegrand11spasaloon.blogspot.com/,4.8,152.0,"Unit 3, Plot no 20 unit, back side of BDA office, above Priyadarshini Handlooms, Kharvela Nagar, Bhubaneswar, Odisha 751001",Kharvela Nagar,20.276152099999997,85.8353435,ChIJ1_b9rP-nGToRkFe7ISfDpvU,https://www.google.com/maps/place/?q=place_id:ChIJ1_b9rP-nGToRkFe7ISfDpvU,part_350,2026-09-20 20:18:08,3279
EDWIN International,Spa,Spa,Spa,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 90902 00111,https://www.edwininternational.in/,4.8,103.0,"Plot No.: 414/4427, Damana Square - Damana School Rd, near Canara Bank, Kanak Durga Nagar, Chandrasekharpur, Bhubaneswar, Odisha 751016","Kanak Durga Nagar, Chandrasekharpur",20.335017399999998,85.8215458,ChIJbxvO_v0JGToR3P2KwGjFn-w,https://www.google.com/maps/place/?q=place_id:ChIJbxvO_v0JGToR3P2KwGjFn-w,part_350,2026-09-20 20:18:08,3280
Bliss Thai Spa,Spa,Spa,Spa,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",N/A,http://www.blissthaispabalangir.site/,4.1,29.0,"1475, Club pada, Shri siddhi vinayak Wellness club, 2nd floor, Plot no : 888, near Laxmi Narayan Temple, Balangir, Odisha 767001",Sahara Para,20.704404699999998,83.49255269999999,ChIJpyxARx4PJDoRwVRVJfSDibk,https://www.google.com/maps/place/?q=place_id:ChIJpyxARx4PJDoRwVRVJfSDibk,part_350,2026-09-20 20:18:08,3281
The Travellers Spa,Spa,Massage spa,Massage spa,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",N/A,N/A,4.1,43.0,"Govt Womens College Rd, near chanakya BNR Hotel, near railway station, Badasirei, Puri, Odisha 752002",Badasirei,19.8026521,85.83926079999999,ChIJoUkdVQzFGToRlzmvllF0NFw,https://www.google.com/maps/place/?q=place_id:ChIJoUkdVQzFGToRlzmvllF0NFw,part_350,2026-09-20 20:18:08,3282
Paradise Spa & Salon,Spa,Beauty Parlour,"Beauty Parlour, Spa",762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 70084 61618,https://paradisespa.co.in/,4.6,216.0,"Plot.no- 1376, 1st Floor, near Khadi Niketan, Ashok Nagar, Bhubaneswar, Odisha 751009",Ashok Nagar,20.262857399999998,85.838207,ChIJawvSuGunGToR1OidKzI4xe4,https://www.google.com/maps/place/?q=place_id:ChIJawvSuGunGToR1OidKzI4xe4,part_350,2026-09-20 20:18:08,3283
Korean hills Unisex Spa,Spa,Spa,Spa,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 98276 16657,N/A,4.4,14.0,"Plot no, 7R92+3M2, Soubhagya Nagar, Baramunda, Bhubaneswar, Odisha 751003","Soubhagya Nagar, Baramunda",20.267687499999997,85.8016875,ChIJa-42G_2nGToRUnvTT3_ycUA,https://www.google.com/maps/place/?q=place_id:ChIJa-42G_2nGToRUnvTT3_ycUA,part_350,2026-09-20 20:18:08,3284
Mellova Salon & Spa,Spa,Spa,Spa,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 91783 31222,https://www.mellovasalonandspa.in/,4.9,74.0,"3rd Floor, Plot 1189/5172/6314, Krusi Vihar St, Soubhagya Nagar, Baramunda, Bhubaneswar, Odisha 751003","Soubhagya Nagar, Baramunda",20.269846599999997,85.8050672,ChIJY2_I5hWnGToR3mtBBrlAz3M,https://www.google.com/maps/place/?q=place_id:ChIJY2_I5hWnGToR3mtBBrlAz3M,part_350,2026-09-20 20:18:08,3285
The Empire Spa,Spa,Spa,Spa,762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 77670 15741,N/A,4.9,123.0,"Shahupuri 5th Ln, Shahupuri, Kolhapur, Maharashtra 416001",Shahupuri,16.7007878,74.2318597,ChIJbc1MXV8BwTsRhjZS1Ptg9Yc,https://www.google.com/maps/place/?q=place_id:ChIJbc1MXV8BwTsRhjZS1Ptg9Yc,part_350,2026-09-20 20:18:08,3286
Mayra Spa & Salon,Spa,Spa,"Spa, Facial spa, Make-up artist, Massage therapist, Nail salon, Thai massage therapist",762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 94373 17777,https://www.mayraspasalon.com/body-massage-services-in-bbsr/,4.2,95.0,"2nd Floor, Station Bazar, Plot No 435, Cuttack Rd, near Sai Teample, Buddha Nagar, Laxmisagar, Bhubaneswar, Odisha 751006","Buddha Nagar, Laxmisagar",20.2642512,85.8459388,ChIJjeG7z1-nGToRGhDsh-3iT68,https://www.google.com/maps/place/?q=place_id:ChIJjeG7z1-nGToRGhDsh-3iT68,part_350,2026-09-20 20:18:08,3287
Vedhavillage Spa Kodaikanal,Spa,Massage spa,"Massage spa, Day spa, Massage therapist, Spa, Spa and health club",762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O",+91 97515 90618,https://vedhavillage.com/spa-in-kodaikanal/,4.9,159.0,"Fern Hill Rd, Kodaikanal, Tamil Nadu 624101",762021,10.2439211,77.49306469999999,ChIJgfnafgBnBzsRCLalapPsUFo,https://www.google.com/maps/place/?q=place_id:ChIJgfnafgBnBzsRCLalapPsUFo,part_350,2026-09-20 20:18:08,3288
