business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Jai Hind Dhaba,North Indian Restaurant,North Indian restaurant,North Indian restaurant,761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 92305 08033,N/A,4.2,16784.0,"Oppo, Lakshmi Narayan Mondir, 41/1A, Sarat Bose Rd, Jadubabur Bazar, Bhowanipore, Kolkata, West Bengal 700020","Jadubabur Bazar, Bhowanipore",22.533150499999998,88.3530686,ChIJj7FAqyR3AjoRScZjx1_9yQ8,https://www.google.com/maps/place/?q=place_id:ChIJj7FAqyR3AjoRScZjx1_9yQ8,part_349,2026-09-20 20:18:00,861
Merrydine Restaurant,North Indian Restaurant,North Eastern Indian restaurant,"North Eastern Indian restaurant, Caterer, Lodge",761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 78096 68888,N/A,3.7,355.0,"bus stand, front of indraga gandhi statue, old, Brahmapur, Odisha 760001",Gandhi Nagar,19.3111458,84.79030279999999,ChIJjVxkEHhQPToRtAiB129oGNk,https://www.google.com/maps/place/?q=place_id:ChIJjVxkEHhQPToRtAiB129oGNk,part_349,2026-09-20 20:18:00,862
DedaRaM,North Indian Restaurant,Rajasthani Restaurant,Rajasthani Restaurant,761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",N/A,N/A,,,"GJ73+6J8, Sheragada, Odisha 761106",761114,19.513030099999998,84.6040883,ChIJIUd6cADLIjoRhv5nSz0TDRQ,https://www.google.com/maps/place/?q=place_id:ChIJIUd6cADLIjoRhv5nSz0TDRQ,part_349,2026-09-20 20:18:00,863
Bapu Ki Kutia (since 1964),North Indian Restaurant,North Indian restaurant,North Indian restaurant,761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 93409 46596,http://www.bapukikutia.in/,4.4,,"Onam Plaza, M.Z- 9, AB Rd, Near Industry House, Old Palasia, Indore, Madhya Pradesh 452001","Near Industry House, Old Palasia",22.728813799999998,75.8879449,ChIJexW9BeT9YjkR9FcR_39EDfM,https://www.google.com/maps/place/?q=place_id:ChIJexW9BeT9YjkR9FcR_39EDfM,part_349,2026-09-20 20:18:02,864
Maa Ki Rasoi,North Indian Restaurant,Indian restaurant,"Indian restaurant, Chinese restaurant, Family restaurant, South Indian restaurant, Vegetarian restaurant",761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 731 499 3533,N/A,4.2,,"291 - GOPUR EXT , SUDAMA NAGAR, RING ROAD, Gopur Square, near BANK OF INDIA, Indore, Madhya Pradesh 452009","Gopur Square, Gopur Colony",22.684707799999998,75.82881789999999,ChIJ94PKFTj8YjkReC5rtxYUAKs,https://www.google.com/maps/place/?q=place_id:ChIJ94PKFTj8YjkReC5rtxYUAKs,part_349,2026-09-20 20:18:02,865
BAWARCHIKHANA,North Indian Restaurant,North Indian restaurant,North Indian restaurant,761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 98067 18793,N/A,4.2,,"main road, Transport Nagar, Indore, Madhya Pradesh 452014",Transport Nagar,22.6947308,75.8596851,ChIJh3N_ifb9YjkRwhi2ZZXhIpY,https://www.google.com/maps/place/?q=place_id:ChIJh3N_ifb9YjkRwhi2ZZXhIpY,part_349,2026-09-20 20:18:02,866
Shree Gopi Pavithra Bhojanalaya,North Indian Restaurant,Restaurant,Restaurant,761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 90244 47555,N/A,4.1,,"Shop No.246, near Thadakeswar Mandir, Chaura Rasta, Tripolia Bazar, Biseswarji, Jaipur, Jaipur Nagar Nigam Area, Rajasthan 302003","Chaura Rasta, Tripolia Bazar, Biseswarji",26.9224191,75.8224694,ChIJU0EmxEyxbTkRr2yQ31ozFVA,https://www.google.com/maps/place/?q=place_id:ChIJU0EmxEyxbTkRr2yQ31ozFVA,part_349,2026-09-20 20:18:02,867
Jaspal Dhaba Tota Maina Restaurant,North Indian Restaurant,Indian restaurant,Indian restaurant,761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",N/A,N/A,3.7,,"JVP5+V75, Dewas Bypass Road, Rewabag, Old Town, Industrial Area, Dewas, Morod, Madhya Pradesh 452020","Rewabag, Old Town, Industrial Area",22.6371347,75.85824269999999,ChIJNfOpVAD7YjkRcr4t6zEc2ZQ,https://www.google.com/maps/place/?q=place_id:ChIJNfOpVAD7YjkRcr4t6zEc2ZQ,part_349,2026-09-20 20:18:02,868
The Urban Rasoi,North Indian Restaurant,North Indian restaurant,"North Indian restaurant, Cafe, Chinese restaurant, Fast food restaurant, Vegetarian restaurant",761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 98270 06515,N/A,4.1,,"Bank Colony Rd, Usha Nagar, Sudama Nagar, Indore, Madhya Pradesh 452009","Usha Nagar, Sudama Nagar",22.6951242,75.8363193,ChIJjS3x86_9YjkRI_9myvT9_sU,https://www.google.com/maps/place/?q=place_id:ChIJjS3x86_9YjkRI_9myvT9_sU,part_349,2026-09-20 20:18:02,869
Al-Qasim Restaurant,North Indian Restaurant,Restaurant,Restaurant,761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 93021 32422,N/A,4.6,,"2, Nasiya Rd, Near Sarwate Bus Stand, Jawari Bagh Nasiya, Chhawni, Indore, Madhya Pradesh 452001","Near Sarwate Bus Stand, Jawari Bagh Nasiya, Chhawni",22.7134367,75.86946309999999,ChIJm5uerV_9YjkRtPAkxpk5ikE,https://www.google.com/maps/place/?q=place_id:ChIJm5uerV_9YjkRtPAkxpk5ikE,part_349,2026-09-20 20:18:02,870
Om Sai Prashad Bhojnalay,North Indian Restaurant,Gujarati restaurant,"Gujarati restaurant, Family restaurant",761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 88274 43737,N/A,4.4,,"Pedestrian Overpass Railway Station(, in front of Choti Line, Chhoti Gwaltoli, Indore, Madhya Pradesh 452001","Flim Colony, Chhoti Gwaltoli",22.7179009,75.8694872,ChIJcSLEQhH9YjkRTLgtZ1FKhKA,https://www.google.com/maps/place/?q=place_id:ChIJcSLEQhH9YjkRTLgtZ1FKhKA,part_349,2026-09-20 20:18:02,871
Panna Sweets & Restaurant,North Indian Restaurant,North Indian restaurant,"North Indian restaurant, Sweet shop, Fast food restaurant",761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 93290 74123,N/A,4.1,,"Rani bagh main, Khandwa Rd, Indore, Madhya Pradesh 452001","Sector A, Rani Bagh Main",22.672727,75.88011279999999,ChIJRVUlJrz8YjkRUaCTjT-zrFA,https://www.google.com/maps/place/?q=place_id:ChIJRVUlJrz8YjkRUaCTjT-zrFA,part_349,2026-09-20 20:18:02,872
Tej Patta,North Indian Restaurant,Restaurant,Restaurant,761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 81300 83878,N/A,4.9,,"47, Babu Lalchand Chajlani Rd, near annapurna police station, Revenue Colony, Madhuban Colony, Indore, Madhya Pradesh 452009","Revenue Colony, Madhuban Colony",22.696380299999998,75.843104,ChIJ8aG6Rnv9YjkRYtQpzP2xBXA,https://www.google.com/maps/place/?q=place_id:ChIJ8aG6Rnv9YjkRYtQpzP2xBXA,part_349,2026-09-20 20:18:02,873
Bapu Ki Kutia (since 1964),North Indian Restaurant,North Indian restaurant,"North Indian restaurant, Vegetarian restaurant",761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 89624 12070,https://www.bapukikutia.in/,4.1,,"32, Sapna Sangeeta Rd, opp. Inox theatre, Snehnagar, Indore, Madhya Pradesh 452001",Snehnagar,22.699182099999998,75.866321,ChIJD35S4Ln9YjkRay1_-WM3A7c,https://www.google.com/maps/place/?q=place_id:ChIJD35S4Ln9YjkRay1_-WM3A7c,part_349,2026-09-20 20:18:02,874
Handi restaurant jaipur,North Indian Restaurant,Restaurant,"Restaurant, Bar & grill, Non Vegetarian Restaurant, North Indian restaurant",761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O",+91 98291 74873,N/A,4.1,,"Mirza Ismail Rd, opp. GPO, C Scheme, Ashok Nagar, Jaipur, Jaipur Nagar Nigam Area, Rajasthan 302001","C Scheme, Ashok Nagar",26.9168891,75.8039984,ChIJERP0VLG2bTkRrVzfUlilTMg,https://www.google.com/maps/place/?q=place_id:ChIJERP0VLG2bTkRrVzfUlilTMg,part_349,2026-09-20 20:18:02,875
Narula's Restaurant,North Indian Restaurant,North Indian restaurant,"North Indian restaurant, Bakery and Cake Shop, Chinese restaurant",761115,Odisha Circle,Berhampur Region,Aska Division,"Gunthapada S.O, Balisira B.O, Debabhumi B.O",+91 77880 99099,N/A,4.0,,"Hotel Basera, 45, Ashok Nagar, Bhubaneswar, Odisha 751009",Ashok Nagar,20.264509,85.83896,ChIJq6qq6kWnGToRkZ716WM-5Ck,https://www.google.com/maps/place/?q=place_id:ChIJq6qq6kWnGToRkZ716WM-5Ck,part_349,2026-09-20 20:18:39,7861
AAMAR KOSHALI GHAR (Restaurant),North Indian Restaurant,Restaurant,"Restaurant, Cafe, Dhaba, Hotel",761115,Odisha Circle,Berhampur Region,Aska Division,"Gunthapada S.O, Balisira B.O, Debabhumi B.O",+91 90407 07871,http://akg.inmyarea.in/,4.9,423.0,"2ND STALL, JAIN HEIGHTS, Railway, Station Rd, in front of RAILWAY STATION, Titilagarh, Odisha 767033",761115,20.285386499999998,83.1547775,ChIJbaJPVL5ZJDoR7aY3CzbILZA,https://www.google.com/maps/place/?q=place_id:ChIJbaJPVL5ZJDoR7aY3CzbILZA,part_349,2026-09-20 20:18:40,7862
New Jungle Junket Restaurant,North Indian Restaurant,North Indian restaurant,North Indian restaurant,761115,Odisha Circle,Berhampur Region,Aska Division,"Gunthapada S.O, Balisira B.O, Debabhumi B.O",+91 95831 08107,N/A,4.3,157.0,"8QWC+M3H, Besides Lifestyle Orchid Apartment,Sundarpur, Bhubaneswar, Odisha 751029",761115,20.3466846,85.7702274,ChIJoYbRzKEJGToRdROchMOSVJ0,https://www.google.com/maps/place/?q=place_id:ChIJoYbRzKEJGToRdROchMOSVJ0,part_349,2026-09-20 20:18:40,7863
Impulse Restro,North Indian Restaurant,North Indian restaurant,North Indian restaurant,761115,Odisha Circle,Berhampur Region,Aska Division,"Gunthapada S.O, Balisira B.O, Debabhumi B.O",N/A,N/A,4.3,460.0,"Mallick Complex, Jagamara, Bhubaneswar, Odisha 751020",Jagamara,20.258222999999997,85.79845619999999,ChIJyWcbI8inGToR8dkzBoZgAf8,https://www.google.com/maps/place/?q=place_id:ChIJyWcbI8inGToR8dkzBoZgAf8,part_349,2026-09-20 20:18:40,7864
ମୋତି ମହଲ ଡିଲକ୍ସ - MOTI MAHAL DELUX TANDOORI TRAIL,North Indian Restaurant,North Indian restaurant,"North Indian restaurant, Restaurant",761115,Odisha Circle,Berhampur Region,Aska Division,"Gunthapada S.O, Balisira B.O, Debabhumi B.O",+91 98534 05060,http://motimahal.in/,4.0,215.0,"2nd floor, Golden Arcade, Above Woodland showroom Howrah Motors Square, Cantonment Rd, Cuttack, Odisha 753001",Buxi Bazaar,20.4806345,85.87479549999999,ChIJN4sHvXkSGToRBSGSTK581rc,https://www.google.com/maps/place/?q=place_id:ChIJN4sHvXkSGToRBSGSTK581rc,part_349,2026-09-20 20:18:40,7865
